0 1             
1 2             
2 3             
3 4             
             
             
             
             
             
             
             
             
             
             
             
calling full_count
0.,1.,,,,,,,,8.,,,,,,
1.,2.,,,,,,,,,,,,,,
2.,3.,,,,,,,,,,,,,,
3.,4.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling row_count
0.,1.,,,,,,,,8.,3.,,,,,
1.,2.,,,,,,,,,2.,,,,,
2.,3.,,,,,,,,,2.,,,,,
3.,4.,,,,,,,,,2.,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling col_count
0.,1.,,,,,,,,8.,3.,,,,,
1.,2.,,,,,,,,,2.,,,,,
2.,3.,,,,,,,,,2.,,,,,
3.,4.,,,,,,,,,2.,,,,,
,,,,,,,,,4.,4.,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling full_sum
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,,2.,,,,,
2.,3.,,,,,,,,,2.,,,,,
3.,4.,,,,,,,,,2.,,,,,
,,,,,,,,,4.,4.,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling row_sum
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,,2.,1.,,,,
2.,3.,,,,,,,,,2.,3.,,,,
3.,4.,,,,,,,,,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,

calling col_sum
0.,1.,,,,,,,,8.,3.,9.,,,,
1.,2.,,,,,,,,,2.,1.,,,,
2.,3.,,,,,,,,,2.,3.,,,,
3.,4.,,,,,,,,,2.,5.,,,,
,,,,,,,,,4.,4.,7.,,,,
